week,miles_2019,miles_2020,miles_2021
1,33.87,38.16,36.28
2,34,40.35,36.47
3,24.81,40.8,40.55
4,34.6,41.8,32.67
5,37.81,41.74,34.01
6,34.72,41.24,33.8
7,42.35,39.74,29.33
8,40.08,41.19,31.93
9,40.4,36.56,31.7
10,27.53,42.4,39.47
11,39.3,43.24,39.48
12,46.64,40.81,25.14
13,39.19,45.33,37.7
14,45.2,41.7,38.46
15,40.3,39.8,40.15
16,43,30.03,33.43
17,30.5,45.95,27.83
18,36.3,43.56,35.47
19,38.05,43.07,37.63
20,34.3,42.91,18.5
21,45.01,42.2,37.3
22,44.36,47.16,37.22
23,44.2,42.6,34.69
24,45.07,41.37,30.6
25,44.57,36,
26,41.21,35.4,
27,44.2,39.2,
28,41.07,35.45,
29,41.36,39.2,
30,38.3,36.38,
31,44.3,40.12,
32,42.04,41.14,
33,42.95,40.16,
34,42.1,37.19,
35,44,40.01,
36,38.89,38.73,
37,41.2,37.62,
38,41.58,38.2,
39,43.49,41.38,
40,43.7,31,
41,38,38.32,
42,43.92,38.74,
43,44,30,
44,32.7,29.25,
45,41.3,40.51,
46,35.5,38.52,
47,30,40.61,
48,38.6,40.34,
49,40.6,40.6,
50,45.26,36.5,
51,40.94,31.5,
52,17.4,20.4,
